,return_top20,Date,return_top10,return_top5,return_randamu,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum,SP500_Return,top20-RF,top10-RF,top5-RF,randamu-RF,RF_div100
40,0.03629255413500001,2005-06-01,0.038071349420000004,0.0041313618399999984,0.038721826655,0.57,0.0057,2.58,2.83,0.23,0.0,0.0235,0.026,1.104173635,1.232637406,1.245724934,1.025095977,0.033992554135000005,0.03577134942,0.0018313618399999985,0.036421826655,0.0023
41,-0.004542323139999999,2005-07-01,-0.01106888118,-0.010150987759999997,-0.027327709565000004,3.92,0.0392,2.91,-0.79,0.24,0.04,0.0267,-0.0103,1.147457241,1.265548824,1.232893968,1.061319231,-0.006942323139999998,-0.01346888118,-0.012550987759999997,-0.029727709565000003,0.0024
42,0.0032598077549999983,2005-08-01,0.0296163324,0.0279340108,0.019247816845,-1.22,-0.0122,-0.97,1.32,0.3,-0.01,-0.0127,0.0102,1.133458263,1.249476354,1.245469486,1.049341747,0.0002598077549999982,0.0266163324,0.0249340108,0.016247816845000002,0.003
43,-0.010289404865000002,2005-09-01,-0.022427042129999998,-0.0013540556000000026,-0.006650450754999999,0.49,0.0049,-0.65,0.71,0.29,0.01,-0.0094,0.0042,1.139012208,1.237731277,1.250700458,1.056608342,-0.013189404865000002,-0.025327042129999998,-0.0042540556000000024,-0.009550450754999999,0.0029
44,0.05986407306,2005-10-01,0.058536831080000004,0.06944274035999999,0.052620042029999994,-2.02,-0.0202,-1.25,0.42,0.27,-0.02,-0.0152,0.0015,1.116004162,1.218917761,1.252576509,1.037695058,0.05716407306,0.05583683108,0.06674274036,0.04992004202999999,0.0027
45,0.025551254850000003,2005-11-01,0.024756962100000002,-0.0024964796799999997,0.009985123255000002,3.61,0.0361,0.99,-1.16,0.31,0.03,0.0068,-0.0147,1.156291912,1.227206402,1.234163634,1.073579838,0.022451254850000005,0.021656962100000003,-0.00559647968,0.006885123255000002,0.0031
46,0.0313139572495,2005-12-01,0.040923410729,0.05642026039999999,0.037974852760000004,-0.25,-0.0025,-0.42,0.2,0.32,0.0,-0.0074,-0.0012,1.153401182,1.218125075,1.232682638,1.072556877,0.0281139572495,0.037723410729,0.05322026039999999,0.03477485276,0.0032
47,0.00012255666000000193,2006-01-01,-0.009672012079999997,0.030146652680000007,-0.009572584329999998,3.04,0.0304,5.39,1.08,0.35,0.03,0.0504,0.0073,1.188464578,1.279518578,1.241681221,1.099529496,-0.0033774433399999977,-0.013172012079999997,0.026646652680000008,-0.013072584329999998,0.0034999999999999996
48,0.024392691680000002,2006-02-01,0.027788073150000002,0.0128837904,0.020914773230000003,-0.3,-0.003,-0.38,-0.34,0.34,0.0,-0.0072,-0.0068,1.184899184,1.270306045,1.233237789,1.100027576,0.02099269168,0.02438807315,0.009483790399999999,0.017514773230000003,0.0034000000000000002
49,-0.0013663856249999996,2006-03-01,-0.007205337629999998,-0.026358390860000004,0.0061889626550000005,1.46,0.0146,3.44,0.6,0.37,0.01,0.0307,0.0023,1.202198712,1.30930444,1.236074235,1.112166088,-0.005066385624999999,-0.010905337629999998,-0.030058390860000006,0.0024889626550000004,0.0037
