Date,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum
200405,1.17,0.0117,-0.2,-0.25,0.06,0.01,-0.0026,-0.0031,1.027566409,1.241954349,1.103955452
200406,1.86,0.0186,2.26,1.18,0.08,0.02,0.0218,0.011,1.046679144,1.269028954,1.116098962
200407,-4.06,-0.0406,-3.81,3.24,0.1,-0.03,-0.0391,0.0314,1.004183971,1.219409922,1.151144469
200408,0.08,0.0008,-1.48,0.97,0.11,0,-0.0159,0.0086,1.004987318,1.200021304,1.161044312
200409,1.6,0.016,3.01,0,0.11,0.01,0.029,-0.0011,1.021067115,1.234821922,1.159767163
200410,1.43,0.0143,0.15,-0.22,0.11,0.01,0.0004,-0.0033,1.035668375,1.235315851,1.155939931
200411,4.54,0.0454,3.74,1.41,0.15,0.04,0.0359,0.0126,1.082687719,1.27966369,1.170504774
200412,3.43,0.0343,-0.03,-0.22,0.16,0.03,-0.0019,-0.0038,1.119823908,1.277232329,1.166056856
200501,-2.76,-0.0276,-1.72,2.06,0.16,-0.03,-0.0188,0.019,1.088916768,1.253220361,1.188211936
200502,1.89,0.0189,-0.57,1.54,0.16,0.02,-0.0073,0.0138,1.109497295,1.244071853,1.204609261
200503,-1.97,-0.0197,-1.4,2.04,0.21,-0.02,-0.0161,0.0183,1.087640199,1.224042296,1.226653611
200504,-2.61,-0.0261,-3.94,0.07,0.21,-0.02,-0.0415,-0.0014,1.059252789,1.173244541,1.224936296
200505,3.65,0.0365,2.89,-0.64,0.24,0.03,0.0265,-0.0088,1.097915516,1.204335521,1.214156856
200506,0.57,0.0057,2.58,2.83,0.23,0,0.0235,0.026,1.104173635,1.232637406,1.245724934
200507,3.92,0.0392,2.91,-0.79,0.24,0.04,0.0267,-0.0103,1.147457241,1.265548824,1.232893968
200508,-1.22,-0.0122,-0.97,1.32,0.3,-0.01,-0.0127,0.0102,1.133458263,1.249476354,1.245469486
200509,0.49,0.0049,-0.65,0.71,0.29,0.01,-0.0094,0.0042,1.139012208,1.237731277,1.250700458
200510,-2.02,-0.0202,-1.25,0.42,0.27,-0.02,-0.0152,0.0015,1.116004162,1.218917761,1.252576509
200511,3.61,0.0361,0.99,-1.16,0.31,0.03,0.0068,-0.0147,1.156291912,1.227206402,1.234163634
200512,-0.25,-0.0025,-0.42,0.2,0.32,0,-0.0074,-0.0012,1.153401182,1.218125075,1.232682638
200601,3.04,0.0304,5.39,1.08,0.35,0.03,0.0504,0.0073,1.188464578,1.279518578,1.241681221
200602,-0.3,-0.003,-0.38,-0.34,0.34,0,-0.0072,-0.0068,1.184899184,1.270306045,1.233237789
200603,1.46,0.0146,3.44,0.6,0.37,0.01,0.0307,0.0023,1.202198712,1.30930444,1.236074235
200604,0.73,0.0073,-1.42,2.34,0.36,0.01,-0.0178,0.0198,1.210974763,1.285998821,1.260548505
200605,-3.57,-0.0357,-2.96,2.41,0.43,-0.03,-0.0339,0.0198,1.167742964,1.242403461,1.285507366
200606,-0.35,-0.0035,-0.39,0.85,0.4,0,-0.0079,0.0045,1.163655864,1.232588474,1.291292149
200607,-0.78,-0.0078,-3.98,2.6,0.4,0.01,-0.0438,0.022,1.154579348,1.178601099,1.319700576
200608,2.03,0.0203,1.03,-2.06,0.42,0.02,0.0061,-0.0248,1.178017309,1.185790565,1.286972002
200609,1.84,0.0184,-1.36,0.08,0.41,0.02,-0.0177,-0.0033,1.199692827,1.164802072,1.282724994
200610,3.23,0.0323,1.75,-0.31,0.41,0.03,0.0134,-0.0072,1.238442905,1.18041042,1.273489374
